"id";"name";"link";"created_at";"updated_at"
101;"angular-drag-and-drop-lists";"https://cdnjs.cloudflare.com/ajax/libs/angular-drag-and-drop-lists/2.1.0/angular-drag-and-drop-lists.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
102;"angular-dragula";"https://cdnjs.cloudflare.com/ajax/libs/angular-dragula/1.2.8/angular-dragula.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
103;"angular-dynamic-locale";"https://cdnjs.cloudflare.com/ajax/libs/angular-dynamic-locale/0.1.37/tmhDynamicLocale.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
104;"angular-elastic-input";"https://cdnjs.cloudflare.com/ajax/libs/angular-elastic-input/2.4.0/angular-elastic-input.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
105;"angular-elastic";"https://cdnjs.cloudflare.com/ajax/libs/angular-elastic/2.5.1/elastic.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
106;"angular-elevatezoom-plus";"https://cdnjs.cloudflare.com/ajax/libs/angular-elevatezoom-plus/1.2.2/js/angular-ezplus.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
107;"angular-file-saver";"https://cdnjs.cloudflare.com/ajax/libs/angular-file-saver/1.1.3/angular-file-saver.bundle.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
108;"angular-file-upload";"https://cdnjs.cloudflare.com/ajax/libs/angular-file-upload/2.5.0/angular-file-upload.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
109;"angular-filemanager";"https://cdnjs.cloudflare.com/ajax/libs/angular-filemanager/1.5.1/angular-filemanager.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
110;"angular-filter";"https://cdnjs.cloudflare.com/ajax/libs/angular-filter/0.5.17/angular-filter.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
265;"antd";"https://cdnjs.cloudflare.com/ajax/libs/antd/3.13.2/antd.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
111;"angular-fontselect";"https://cdnjs.cloudflare.com/ajax/libs/angular-fontselect/0.13.4/angular-fontselect.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
112;"angular-formly-material";"https://cdnjs.cloudflare.com/ajax/libs/angular-formly-material/0.14.3/formly-material.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
113;"angular-formly-templates-bootstrap";"https://cdnjs.cloudflare.com/ajax/libs/angular-formly-templates-bootstrap/6.5.1/angular-formly-templates-bootstrap.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
114;"angular-formly";"https://cdnjs.cloudflare.com/ajax/libs/angular-formly/8.4.1/formly.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
115;"angular-foundation-6";"https://cdnjs.cloudflare.com/ajax/libs/angular-foundation-6/0.11.22/angular-foundation.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
116;"angular-foundation";"https://cdnjs.cloudflare.com/ajax/libs/angular-foundation/0.8.0/mm-foundation.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
117;"angular-gantt";"https://cdnjs.cloudflare.com/ajax/libs/angular-gantt/1.3.3/angular-gantt.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
118;"angular-gettext";"https://cdnjs.cloudflare.com/ajax/libs/angular-gettext/2.4.1/angular-gettext.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
119;"angular-google-analytics";"https://cdnjs.cloudflare.com/ajax/libs/angular-google-analytics/1.1.9/angular-google-analytics.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
120;"angular-google-chart";"https://cdnjs.cloudflare.com/ajax/libs/angular-google-chart/0.1.0/ng-google-chart.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
121;"angular-google-maps";"https://cdnjs.cloudflare.com/ajax/libs/angular-google-maps/2.4.1/angular-google-maps.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
122;"angular-gravatar";"https://cdnjs.cloudflare.com/ajax/libs/angular-gravatar/0.4.2/angular-gravatar.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
123;"angular-gridster";"https://cdnjs.cloudflare.com/ajax/libs/angular-gridster/0.13.15/angular-gridster.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
124;"angular-growl-2";"https://cdnjs.cloudflare.com/ajax/libs/angular-growl-2/0.7.9/angular-growl.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
125;"angular-growl";"https://cdnjs.cloudflare.com/ajax/libs/angular-growl/0.4.0/angular-growl.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
126;"angular-hal";"https://cdnjs.cloudflare.com/ajax/libs/angular-hal/2.3.0/angular-hal.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
